Y_PROJ,X_PROJ,IND,Juv,F
4236942.783261,346194.985609,3,1,F
4237942.607698,348158.920576,3,1,F
4239742.337569,344237.465693,3,1,F
4239644.598413,343702.543404,3,1,F
4241141.43356,344828.887325,3,1,F
4237682.944699,346997.052459,3,1,F
4238856.523456,348194.433001,3,1,F
4239909.429767,348574.420893,3,1,F
4239562.777605,348118.910696,3,1,F
4236743.408112,346975.681815,3,1,F
4236133.616107,346067.161071,3,1,F
4235854.05645,348805.22114,3,1,F
4237064.196279,348731.196025,3,1,F
4237477.757456,337366.679332,3,1,F
4237771.897372,336337.470133,3,1,F
4237537.879626,337062.827815,3,1,F
4236732.479061,337571.998316,3,1,F
4237391.917594,339910.649955,3,1,F
4237933.291108,338822.305686,3,1,F
4237381.684101,335902.156977,3,1,F
4236504.07909,334941.131902,3,1,F
4236782.648392,335467.638204,3,1,F
4236494.482026,335255.853393,3,1,F
4236475.004811,335791.508008,3,1,F
4241092.345126,357827.104605,3,1,F
4239901.021533,356391.823195,3,1,F
4240305.066855,357549.49935,3,1,F
4240163.293359,357492.736158,3,1,F
4240075.561885,357098.486244,3,1,F
4240308.113079,357206.875572,3,1,F
4240578.260298,356972.196872,3,1,F
4241350.065298,358880.023364,3,1,F
4241373.14656,359456.837109,3,1,F
4241046.51848,359798.4369,3,1,F
4240924.680248,360154.595521,3,1,F
4240417.710999,358122.043411,3,1,F
4240379.143949,358242.320685,3,1,F
4239274.619652,357670.588535,3,1,F
4239252.844194,357574.577684,3,1,F
4238784.321838,356951.747107,3,1,F
4239071.433015,356717.141367,3,1,F
4234417.757836,347477.958316,3,1,F
4235376.859414,348503.884237,3,1,F
4234290.369458,346988.611217,3,1,F
4237632.92645,340329.5125,4,2,F
4236726.827459,342218.019207,4,2,F
4236815.970963,342003.532972,4,2,F
4238623.497169,342925.052889,4,2,F
4238464.731091,343485.380182,4,2,F
4237740.968437,342278.99864,4,2,F
4238331.851114,346016.267189,4,2,F
4237887.441662,347992.349489,4,2,F
4239827.705548,341387.011381,4,2,F
4238742.244115,342129.438876,4,2,F
4239527.300034,344019.124448,4,2,F
4238954.014954,343843.541855,4,2,F
4238995.611315,343058.379272,4,2,F
4238894.292995,343284.990049,4,2,F
4237718.771849,336437.70451,4,2,F
4237848.450356,336420.12991,4,2,F
4236585.530919,337989.661328,4,2,F
4236092.63169,337510.013315,4,2,F
4236783.059301,336073.626665,4,2,F
4234622.777693,336206.161324,4,2,F
4240363.572524,356975.884365,4,2,F
4239813.969554,356861.689455,4,2,F
4240316.716962,357494.947953,4,2,F
4238809.258557,357020.607203,4,2,F
4239166.313966,346441.024257,5,0,N
4239401.596596,346355.089187,5,0,N
4238958.644897,342843.699007,5,0,N
4236558.126318,336132.181588,5,0,N
4236635.168925,336110.828745,5,1,N
4237858.423365,346494.049789,5,2,N
4239138.484575,357517.152624,6,0,N
4240311.330514,346327.967294,6,1,N
