No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
279,WNC,38.247556,127.185831,4234838.573,341251.4823,3,1,F
280,WNC,38.258603,127.176298,4236080.869,340441.3529,2,0,F
281,WNC,38.250375,127.189009,4235145.932,341535.6689,2,0,F
282,WNC,38.285122,127.193756,4238993.734,342026.4188,3,1,F
283,WNC,38.285717,127.188367,4239069.03,341556.3965,3,1,F
284,WNC,38.284638,127.194336,4238938.991,342076.062,3,1,F
285,WNC,38.285304,127.195193,4239011.485,342152.4746,3,1,F
286,WNC,38.282864,127.19595,4238739.365,342213.4095,3,1,F
287,WNC,38.283016,127.197856,4238753.047,342380.4652,26,6,N
288,WNC,38.286724,127.186779,4239183.507,341419.6639,3,1,F
289,WNC,38.29074,127.184252,4239633.41,341207.3661,3,1,F
290,WNC,38.291983,127.192705,4239756.946,341949.3662,3,1,F
291,WNC,38.291612,127.185994,4239727.21,341361.6378,4,2,F
292,WNC,38.289316,127.18849,4239468.104,341574.9352,4,2,F
293,WNC,38.288943,127.189298,4239425.417,341644.7579,4,2,F
294,WNC,38.291149,127.186001,4239675.836,341361.2116,12,0,N
295,WNC,38.272389,127.167568,4237625.77,339707.8515,3,1,F
296,WNC,38.270795,127.170572,4237443.744,339967.0976,10,1,N
297,WNC,38.280325,127.196829,4238456.206,342284.8072,3,1,F
298,WNC,38.277315,127.193011,4238128.603,341944.2891,2,0,F
299,WNC,38.276478,127.185904,4238047.912,341320.8051,3,1,F
300,WNC,38.275827,127.18544,4237976.483,341278.7693,3,1,F
301,WNC,38.270452,127.178297,4237392.276,340642.1914,3,1,F
302,WNC,38.274222,127.1823,4237803.841,341000.6105,3,1,F
303,WNC,38.273738,127.181521,4237751.396,340931.3878,2,0,F
304,WNC,38.282768,127.185532,4238746.594,341301.9875,2,0,F
305,WNC,38.274839,127.181682,4237873.357,340947.8681,4,2,F
306,WNC,38.279266,127.182026,4238364.028,340987.6667,4,2,F
307,WNC,38.281898,127.179874,4238659.826,340805.1314,4,2,F
308,WNC,38.275803,127.181762,4237980.17,340956.9874,7,0,N
309,WNC,38.276582,127.185533,4238060.112,341288.6089,4,2,F
310,WNC,38.278057,127.189044,4238217.794,341598.9033,45,0,N
311,WNC,38.271728,127.195883,4237503.756,342183.4495,2,0,F
312,WNC,38.259506,127.18681,4236163.044,341363.1124,2,0,F
313,WNC,38.260663,127.189574,4236286.65,341607.4931,2,0,F
314,WNC,38.26006,127.187664,4236222.981,341439.1058,4,2,F
315,WNC,38.27506,127.195091,4237874.912,342121.4134,4,2,F
316,WNC,38.267153,127.182245,4237019.382,340980.3499,2,0,F
317,WNC,38.259649,127.191194,4236171.333,341747.0101,2,0,F
318,WNC,38.259329,127.192239,4236134.064,341837.7895,2,0,F
319,WNC,38.259146,127.195195,4236108.675,342096.0129,2,0,F
320,WNC,38.263535,127.177437,4236626.192,340551.8601,3,1,F
321,WNC,38.266812,127.29495,4236793.778,350839.9984,4,2,F
322,WNC,38.269764,127.302161,4237109.723,351476.8621,4,2,F
323,WNC,38.275456,127.305109,4237736.678,351746.3183,4,2,F
324,WNC,38.271097,127.298668,4237263.26,351174.0285,2,0,F
325,WNC,38.27212,127.300705,4237373.518,351354.3066,2,0,F
326,WNC,38.273824,127.30231,4237560.111,351498.208,2,0,F
327,WNC,38.270563,127.303601,4237196.131,351604.4319,2,0,F
328,WNC,38.270644,127.304149,4237204.213,351652.5989,3,1,F
329,WNC,38.271088,127.306716,4237249.371,351878.0633,3,1,F
330,WNC,38.271702,127.305453,4237319.562,351768.8236,3,1,F
331,WNC,38.276392,127.30236,4237844.988,351507.788,3,1,F
332,WNC,38.270106,127.300212,4237150.898,351307.0808,2,0,F
333,WNC,38.268201,127.297099,4236944.481,351030.8083,11,0,N
334,WNC,38.276147,127.309741,4237805.987,352152.9643,2,0,F
335,WNC,38.295817,127.327765,4239960.006,353769.0961,2,0,F
336,WNC,38.277126,127.304024,4237923.682,351654.8012,3,1,F
337,WNC,38.274049,127.31087,4237571.28,352247.4324,3,1,F
338,WNC,38.286756,127.317647,4238970.562,352865.9676,3,1,F
339,WNC,38.29563,127.346685,4239909.537,355423.3523,4,2,F
340,WNC,38.302255,127.365385,4240615.539,357071.7122,2,0,F
