Y_PROJ,X_PROJ,IND,Juv,F
4240114.53747,357220.347144,2,0,F
4241329.140266,358888.546984,2,0,F
4241083.494269,359954.419456,2,0,F
4241256.109259,360068.368745,2,0,F
4241108.769291,360121.728627,2,0,F
4236624.933154,355495.092468,2,0,F
4239938.047574,343000.531421,3,1,F
4239930.718233,343206.74124,3,1,F
4239800.434418,343449.061009,3,1,F
4239879.702589,341451.738378,3,1,F
4239907.358606,342630.823957,3,1,F
4239974.216551,342666.999511,3,1,F
4239704.395684,341569.249019,3,1,F
4238755.308016,342189.884092,3,1,F
4235009.171021,345691.207698,3,1,F
4236337.157181,347036.006523,3,1,F
4236738.310357,346992.760762,3,1,F
4236752.271299,347302.424241,3,1,F
4236497.037782,347104.599249,3,1,F
4235576.496467,347176.061599,3,1,F
4237132.782715,346876.024777,3,1,F
4235964.412869,347935.815569,3,1,F
4239631.29914,347514.979571,3,1,F
4240411.111932,347793.438693,3,1,F
4238962.655648,348772.8641,3,1,F
4239226.553982,348237.227198,3,1,F
4236915.897448,342538.561409,3,1,F
4238112.794906,342346.554369,3,1,F
4238381.378536,342821.436094,3,1,F
4239221.974605,343645.594298,3,1,F
4238959.722491,343854.399891,3,1,F
4238523.168521,343898.029143,3,1,F
4236766.483973,349162.955916,3,1,F
4235951.273426,348730.895283,3,1,F
4236201.890658,349294.385979,3,1,F
4236204.014533,348079.79774,3,1,F
4238030.151892,348453.205239,3,1,F
4239604.748854,347293.780828,3,1,F
4240166.236588,347023.143991,3,1,F
4238017.328214,348033.504201,3,1,F
4237823.907002,346729.775718,3,1,F
4237132.782715,346876.024777,3,1,F
4236991.947187,346009.838681,3,1,F
4236463.960235,345474.346551,3,1,F
4236546.72981,345886.84076,3,1,F
4237905.948363,346750.658502,3,1,F
4238109.3497,345037.937278,3,1,F
4238421.296987,345750.125173,3,1,F
4239147.171642,346449.985155,3,1,F
4239054.592823,346468.267906,3,1,F
4236481.178891,341092.147498,3,1,F
4236599.934217,341626.512441,3,1,F
4236971.472141,340868.824659,3,1,F
4235496.467045,335967.049513,3,1,F
